,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
56,0.00497756,0.000630231,0.00259366,0.000478604,2,3,scale,linear,"{'C': 2, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
59,0.006969023,1.55E-05,0.003196955,0.000745541,2,3,scale,sigmoid,"{'C': 2, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.724489796,0.693877551,0.714285714,0.734693878,0.734693878,0.720408163,0.015272071,26
60,0.005395699,0.000792046,0.002383518,0.000475023,2,3,auto,linear,"{'C': 2, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
64,0.005387306,0.000489674,0.002596664,0.000490854,2,4,scale,linear,"{'C': 2, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
67,0.006976843,1.98E-05,0.002997828,0.001087705,2,4,scale,sigmoid,"{'C': 2, 'degree': 4, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.724489796,0.693877551,0.714285714,0.734693878,0.734693878,0.720408163,0.015272071,26
68,0.005179167,0.000400547,0.002399492,0.000485074,2,4,auto,linear,"{'C': 2, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
127,0.008371782,0.000800938,0.002599287,0.000793183,50,2,auto,sigmoid,"{'C': 50, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.683673469,0.724489796,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
135,0.00838747,0.001018675,0.002987814,0.000885714,50,3,auto,sigmoid,"{'C': 50, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.683673469,0.724489796,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
143,0.008183718,0.000965006,0.002786922,0.000382763,50,4,auto,sigmoid,"{'C': 50, 'degree': 4, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.683673469,0.724489796,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
3,0.008975887,0.000631129,0.004189157,0.000977691,0.5,2,scale,sigmoid,"{'C': 0.5, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.704081633,0.693877551,0.744897959,0.744897959,0.704081633,0.718367347,0.021980265,44
