,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3,0.121874428,0.011806824,0.001994276,0.000630902,identity,0.0005,lbfgs,"{'activation': 'identity', 'alpha': 0.0005, 'solver': 'lbfgs'}",0.714285714,0.663265306,0.714285714,0.673469388,0.755102041,0.704081633,0.032907174,41
12,0.158576393,0.053280399,0.001396132,0.000489045,identity,0.01,lbfgs,"{'activation': 'identity', 'alpha': 0.01, 'solver': 'lbfgs'}",0.714285714,0.663265306,0.714285714,0.673469388,0.755102041,0.704081633,0.032907174,41
18,0.223122787,0.022328167,0.001794767,0.000398851,identity,0.1,lbfgs,"{'activation': 'identity', 'alpha': 0.1, 'solver': 'lbfgs'}",0.714285714,0.673469388,0.714285714,0.673469388,0.744897959,0.704081633,0.027380424,41
42,0.843101978,0.019881388,0.002588749,0.000473162,logistic,0.1,lbfgs,"{'activation': 'logistic', 'alpha': 0.1, 'solver': 'lbfgs'}",0.734693878,0.663265306,0.693877551,0.693877551,0.734693878,0.704081633,0.027380424,41
69,0.378325319,0.004504397,0.001995373,0.000631505,tanh,0.5,lbfgs,"{'activation': 'tanh', 'alpha': 0.5, 'solver': 'lbfgs'}",0.714285714,0.663265306,0.704081633,0.704081633,0.734693878,0.704081633,0.023268886,41
89,0.412029457,0.015233733,0.001596355,0.000489221,relu,0.05,adam,"{'activation': 'relu', 'alpha': 0.05, 'solver': 'adam'}",0.704081633,0.673469388,0.704081633,0.693877551,0.744897959,0.704081633,0.023268886,41
90,0.363007975,0.006054287,0.001395988,0.000488675,relu,0.1,lbfgs,"{'activation': 'relu', 'alpha': 0.1, 'solver': 'lbfgs'}",0.744897959,0.653061224,0.724489796,0.683673469,0.714285714,0.704081633,0.032268139,41
60,0.38633275,0.015025965,0.001596022,0.000798428,tanh,0.01,lbfgs,"{'activation': 'tanh', 'alpha': 0.01, 'solver': 'lbfgs'}",0.714285714,0.683673469,0.704081633,0.693877551,0.714285714,0.702040816,0.011899902,48
33,0.780982208,0.015591804,0.002193022,0.000388217,logistic,0.005,lbfgs,"{'activation': 'logistic', 'alpha': 0.005, 'solver': 'lbfgs'}",0.744897959,0.653061224,0.714285714,0.683673469,0.704081633,0.7,0.030680197,49
51,0.283355093,0.039435797,0.004193306,0.003534959,tanh,0.0005,lbfgs,"{'activation': 'tanh', 'alpha': 0.0005, 'solver': 'lbfgs'}",0.755102041,0.663265306,0.683673469,0.714285714,0.683673469,0.7,0.032008953,49
57,0.413725376,0.051108849,0.001795578,0.000747705,tanh,0.005,lbfgs,"{'activation': 'tanh', 'alpha': 0.005, 'solver': 'lbfgs'}",0.714285714,0.663265306,0.734693878,0.704081633,0.683673469,0.7,0.024659277,49
72,0.406038141,0.053348869,0.001994801,0.000631203,relu,0.0001,lbfgs,"{'activation': 'relu', 'alpha': 0.0001, 'solver': 'lbfgs'}",0.714285714,0.683673469,0.724489796,0.693877551,0.673469388,0.697959184,0.018925752,52
84,0.358682966,0.014623453,0.001994801,0.000631807,relu,0.01,lbfgs,"{'activation': 'relu', 'alpha': 0.01, 'solver': 'lbfgs'}",0.704081633,0.673469388,0.704081633,0.693877551,0.714285714,0.697959184,0.01384149,52
66,0.390532017,0.010213717,0.001795197,0.000746583,tanh,0.1,lbfgs,"{'activation': 'tanh', 'alpha': 0.1, 'solver': 'lbfgs'}",0.724489796,0.653061224,0.683673469,0.693877551,0.734693878,0.697959184,0.029291225,54
78,0.370452452,0.017702148,0.001594305,0.000488228,relu,0.001,lbfgs,"{'activation': 'relu', 'alpha': 0.001, 'solver': 'lbfgs'}",0.693877551,0.653061224,0.693877551,0.704081633,0.724489796,0.693877551,0.023268886,55
81,0.362594461,0.003866169,0.001795244,0.000399327,relu,0.005,lbfgs,"{'activation': 'relu', 'alpha': 0.005, 'solver': 'lbfgs'}",0.693877551,0.663265306,0.693877551,0.693877551,0.724489796,0.693877551,0.019360884,56
87,0.379085159,0.044407285,0.002194548,0.000747334,relu,0.05,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'solver': 'lbfgs'}",0.704081633,0.663265306,0.693877551,0.693877551,0.714285714,0.693877551,0.017074694,56
27,0.960439253,0.151173059,0.002593422,0.000488247,logistic,0.0005,lbfgs,"{'activation': 'logistic', 'alpha': 0.0005, 'solver': 'lbfgs'}",0.734693878,0.663265306,0.693877551,0.683673469,0.673469388,0.689795918,0.024659277,58
48,0.258350086,0.029680983,0.001994944,0.000631053,tanh,0.0001,lbfgs,"{'activation': 'tanh', 'alpha': 0.0001, 'solver': 'lbfgs'}",0.704081633,0.653061224,0.714285714,0.704081633,0.673469388,0.689795918,0.022908106,58
63,0.381355381,0.01025716,0.00259428,0.000489434,tanh,0.05,lbfgs,"{'activation': 'tanh', 'alpha': 0.05, 'solver': 'lbfgs'}",0.704081633,0.673469388,0.693877551,0.673469388,0.704081633,0.689795918,0.01384149,58
